# SPARC Rotation Curves from VizieR (J/AJ/152/157)
# Reference: Lelli, McGaugh & Schombert (2016), AJ, 152, 157
# Format: Galaxy  D(Mpc)  R(kpc)  Vobs  e_Vobs  Vgas  Vdisk  Vbul
#
F568-V1                80.6     9.72   111.00  19.40    26.10    43.69     0.00
F568-V1                80.6    11.79   113.00  12.50    34.23    40.77     0.00
F568-V1                80.6    17.63   118.00  14.60    36.03    33.12     0.00
F571-8                 53.3     0.22    12.40   7.00     0.92    38.29     0.00
F571-8                 53.3     0.78    37.50   4.00     2.67    85.69     0.00
F571-8                 53.3     1.33    56.50   4.00     3.90   104.00     0.00
F571-8                 53.3     2.33    69.10   4.00     5.34   114.45     0.00
F571-8                 53.3     3.44    85.50   7.50     7.09   107.32     0.00
F571-8                 53.3     3.78    87.10   8.40     7.29   103.70     0.00
F571-8                 53.3     4.77   105.00   4.00     8.42    92.03     0.00
F571-8                 53.3     5.44   112.00   6.70     8.94    86.43     0.00
F571-8                 53.3     6.11   116.00   4.00     9.45    81.42     0.00
F571-8                 53.3     7.22   124.00   4.00    10.47    76.23     0.00
F571-8                 53.3     9.33   135.00   4.00    11.28    68.45     0.00
F571-8                 53.3    11.10   140.00   4.00    11.80    64.24     0.00
F571-8                 53.3    15.55   144.00   5.00    11.28    55.43     0.00
F571-V1                80.1     1.95    32.00  10.00     7.85    23.82     0.00
F571-V1                80.1     3.88    57.60  10.00    15.10    35.57     0.00
F571-V1                80.1     5.83    70.90   7.00    20.84    33.21     0.00
F571-V1                80.1     7.78    77.00   6.00    25.68    32.58     0.00
F571-V1                80.1     9.72    82.50   6.00    29.50    31.97     0.00
F571-V1                80.1    11.66    84.30   6.00    30.81    29.08     0.00
F571-V1                80.1    13.59    83.90   6.00    28.80    26.58     0.00
F574-1                 96.8     0.47    15.30   4.40     0.25    12.99     0.00
F574-1                 96.8     1.41    41.00   4.36     0.88    32.88     0.00
F574-1                 96.8     2.35    60.70   4.40     1.88    41.13     0.00
F574-1                 96.8     3.29    74.90   4.40     3.41    42.43     0.00
F574-1                 96.8     4.22    83.00   6.28     5.43    44.37     0.00
F574-1                 96.8     5.17    86.80   4.40     7.80    46.69     0.00
F574-1                 96.8     6.11    89.40   4.40    10.44    48.85     0.00
F574-1                 96.8     7.05    92.50   4.40    13.15    49.34     0.00
F574-1                 96.8     7.99    94.70   4.40    16.07    50.15     0.00
F574-1                 96.8     8.92    96.30   4.40    18.98    49.17     0.00
F574-1                 96.8     9.87    97.80   4.40    21.99    49.76     0.00
F574-1                 96.8    10.79    98.80   4.62    25.00    50.33     0.00
F574-1                 96.8    11.80    99.50   4.40    27.82    50.68     0.00
F574-1                 96.8    12.60    99.70   5.14    30.02    50.19     0.00
F574-2                 89.1     2.17    12.60  10.00    -8.64    21.61     0.00
F574-2                 89.1     4.32    23.00  10.00    -7.74    27.24     0.00
F574-2                 89.1     6.49    30.00   8.00    15.60    34.00     0.00
F574-2                 89.1     8.65    36.00   8.00    23.65    34.44     0.00
F574-2                 89.1    10.83    40.00   8.00    28.17    36.32     0.00
F579-V1                89.5     0.42    35.70   9.10    -1.70    15.39     0.00
F579-V1                89.5     1.47    83.30   9.30    -4.30    40.70     0.00
F579-V1                89.5     2.11    94.20  10.40    -3.80    48.70     0.00
F579-V1                89.5     2.84    97.60   9.10    -0.80    53.60     0.00
F579-V1                89.5     3.90   101.00   9.10     5.90    57.61     0.00
F579-V1                89.5     4.74   105.00  16.70    10.47    63.10     0.00
F579-V1                89.5     5.69   106.00   9.10    13.24    67.96     0.00
F579-V1                89.5     6.32   108.00  11.50    14.88    69.85     0.00
F579-V1                89.5     7.37   110.00  23.00    17.96    72.36     0.00
F579-V1                89.5     8.21   112.00  19.70    20.83    72.55     0.00
F579-V1                89.5     9.16   113.00   9.10    23.19    73.73     0.00
F579-V1                89.5    10.85   114.00   9.10    26.37    73.37     0.00
F579-V1                89.5    12.21   114.00   9.10    28.32    69.96     0.00
F579-V1                89.5    15.16   114.00  11.20    33.04    63.57     0.00
F583-1                 35.4     0.26    14.60  13.00    -0.50     5.06     0.00
F583-1                 35.4     0.44    10.00   7.00    -0.86     8.17     0.00
F583-1                 35.4     0.77    10.70   7.13    -1.55    13.14     0.00
F583-1                 35.4     0.89    17.40   9.60    -1.78    14.55     0.00
F583-1                 35.4     1.22    23.50  11.20    -2.43    17.29     0.00
F583-1                 35.4     1.55    31.00   5.20    -2.98    18.37     0.00
F583-1                 35.4     1.80    32.30   2.41    -3.18    18.25     0.00
F583-1                 35.4     2.21    40.90   5.90    -3.53    19.06     0.00
F583-1                 35.4     2.31    43.80   4.26    -3.66    19.39     0.00
F583-1                 35.4     2.54    44.80   4.50    -4.08    20.16     0.00
F583-1                 35.4     3.10    51.70  12.70    -5.16    22.16     0.00
F583-1                 35.4     3.43    55.70   4.50    -4.94    23.71     0.00
F583-1                 35.4     3.86    59.40   9.85    -3.07    24.94     0.00
F583-1                 35.4     4.09    62.00   4.50     1.31    25.34     0.00
F583-1                 35.4     4.37    63.00   3.20     4.42    25.74     0.00
